key,event_title,organizer,publication_date,place,event_date,event_date_deducted,year
indeplux-1892-02-27-a-i0024,Soirée carnavalesque suivie de danse,Société chorale grand-ducale Sang & Klang (Pfaffenthal),1892-02-27-00:00:00,Villa Louvigny,1892-02-28-20:00:00,True,
indeplux-1893-02-09-a-i0033,Soirée carnavalesque suivie de danse,Société Sang & Klang,1893-02-09-00:00:00,Villa Louvigny (Parc),1893-02-12-20:00:00,False,
indeplux-1893-02-11-a-i0035,Vente de juments belges,Le Gouvernement grand-ducal,1893-02-11,"Hôtel Olinger-Sinner à Ettelbruck, place du Marché-aux-Chevaux",1893-02-13,False,1893.0
indeplux-1912-03-15-a-i0044,Grand Bal Paré et Masqué,Société carnavalesque Luxembourg,1912-03-15-00:00:00,Grande salle de l'Hôtel de Cologne,1912-03-17-20:30:00,False,
indeplux-1884-03-16-a-i0027,Vente publique d'objets en marbre,Joseph Weiland,1884-03-16-00:00:00,"Luxembourg, rue de l'Arsenal",1884-03-22-13:00:00,False,
indeplux-1892-02-26-a-i0037,Soirée carnavalesque suivie de danse,Société chorale grand-ducale Sang & Klang (Pfaffenthal),1892-02-26-00:00:00,Villa Iiouvigny,1892-02-28-20:00:00,False,
luxembourg1935-1936-02-26-a-i0094,De Mononk Phlepp,Théâtre Populaire Luxembourgeois,1936-02-26-00:00:00,Théâtre Municipal de Luxembourg,"1936-03-01, 1936-03-03, 1936-03-04",False,
indeplux-1884-03-14-a-i0035,Grand Concert and Lottery Drawing,Fanfare R. G.-D. CONCORDIA,1884-03-14,Villa A. M. Berg,1884-03-16,True,1884.0
indeplux-1894-02-01-a-i0022,Soirée carnavalesque avec Tombola suivie de Danse,"Société chorale grand-ducale SANG & KLANG, Pfaffenthal",1894-02-01-00:00:00,Villa Lou vigny (Parc),1894-02-04,False,1894.0
tageblatt-1935-08-10-a-i0128,Concert by Georges Serrano,Radio Luxembourg,1935-08-10-00:00:00,Radio Luxembourg,1935-08-13-21:00:00,False,
courriergdl-1866-02-11-a-i0019,Théâtre de Luxembourg - Multiple Performances,Théâtre de Luxembourg,1866-02-11,Théâtre de Luxembourg,1866-02-11,True,1866.0
indeplux-1912-03-16-a-i0038,Grand Bal Paré et Masqué,Société carnavalesque Luxembourg,1912-03-16-00:00:00,Grande salle de l'Hôtel de Cologne,1912-03-17,True,1912.0
luxwort-1883-01-23-a-i0008,SYMPHONIQUE & VOCAL,SOCIÉTÉ PHILHARMONIQUE,1883-01-23-00:00:00,SAÏXIE DIT ERBELE,1883-01-25-20:00:00,False,
indeplux-1893-02-07-a-i0019,Grand Concert de Bienfaisance,Musique de l'Établissement E. Mercier & Cie,1893-02-07,"Grand hall de l'Établissement MERCIER et Cie., Luxembourg-Gare",1893-02-18,False,1893.0
luxwort-1883-01-24-a-i0014,SOCIÉTÉ PHILHARMONIQUE,Société Philharmonique,1883-01-24-00:00:00,Not specified,1883-01-25,False,1883.0
luxwort-1925-02-21-a-i0053,,,1925-02-21-00:00:00,,,,
luxwort-1924-03-01-a-i0045,,,1924-03-01-00:00:00,,,,
luxwort-1925-02-21-a-i0054,,,1925-02-21-00:00:00,,,,
tageblatt-1947-03-01-a-i0104,BAL TRAVESTI du FOLA,FOLA,1947-03-01,chez Kohn,1947-03-01,True,1947.0
indeplux-1908-03-28-a-i0038,Bal masqué et travesti,Société,1908-03-28-00:00:00,Hôtel de Cologne,1908-03-29-21:00:00,False,
indeplux-1922-02-22-b-i0048,MIGNON - Opera comique,Théâtre Municipal de Nancy,1922-02-22-00:00:00,Théâtre Municipal de Luxembourg,1922-02-22 and 1922-02-23,True,
indeplux-1927-02-24-a-i0028,Grand Bal masqué de la Concordia,Concordia,1927-02-24,"Hôtel du Luxembourg, rue de l'Eau",1927-02-27,False,1927.0
luxland-1967-02-24-a-i0134,JÉER-FUESBAL GRAND BAL MASQUE,Fédération des Chasseurs Luxembourgeois,1967-02-24,Euro-Parc-Hôtel Dommeldange,1967-02-25,False,1967.0
luxembourg1935-1936-02-29-a-i0094,Tass net erlâbt! - Revue humoristique et satyrique de Thérient,BRASSERIE ALFA,1936-02-29-00:00:00,BRASSERIE ALFA,1936-02-29,True,1936.0
indeplux-1911-03-25-a-i0047,Bal masqué,W. Kieffer-Schumacher,1911-03-25,Grande salle de l'Hôtel Brosius,1911-03-26,True,1911.0
tageblatt-1950-03-01-a-i0102,"GRAND BAL MASQUE ET PARÉ DU BOXING-CLUB ESCH ""La Reine d'une Nuit""",BOXING-CLUB ESCH,1950-03-01-00:00:00,HOTEL DE LA POSTE,1950-03-05,False,1950.0
luxembourg1935-1939-02-18-a-i0008,Bal masqué du St. Hubert Club,St. Hubert Club,1939-02-18,CASINO,1939-02-18,True,1939.0
tageblatt-1949-03-18-a-i0077,"GRAND BAL MASQUE ""ESPERANCE""",ESPERANCE,1949-03-18,"SALLE DELOOS (Dickrichs Tel), ESCH-ALZ.",1949-03-19 20:00:00,True,
tageblatt-1936-02-22-a-i0113,BAL MASQUE,HOTEL DE LA POSTE,1936-02-22,"HOTEL DE LA POSTE, Esch",1936-02-23,True,1936.0
tageblatt-1939-02-16-a-i0098,Grand bal masqué,PU,1939-02-16-00:00:00,Casino Arbed,1939-02-18,True,1939.0
indeplux-1922-02-25-a-i0015,Bal masqué du Carnaval,Hôtel Brosius,1922-02-25-00:00:00,"Pôle Nord, Luxembourg",1922-02-26/1922-02-28,True,
indeplux-1907-02-15-a-i0020,Bal paré et masqué,Union dramatique,1907-02-15,hôtel de Cologne,1907-02-17 20:00,False,
indeplux-1908-03-06-a-i0020,Bal paré et masqué,Union Dramatique,1908-03-06,Hôtel de Cologne (Weber-Champagne),1908-03-08 20:30:00,False,
tageblatt-1921-02-08-a-i0061,Grand Bal Masqué,Fanfare La Luxembourgeoise,1921-02-08,"Hôtel Métropole, rue de la Porte Neuve, Luxembourg",1921-02-08,True,1921.0
tageblatt-1949-03-19-a-i0159,GRAND BAL MASQUE ESPERANCE,,1949-03-19-00:00:00,"SALLE DE LOOS (Dickrichs Ted), ESCH-ALZ.",1949-03-19,True,1949.0
luxembourg1935-1936-09-23-a-i0025,Assemblée générale de la Chorale Municipale,Chorale Municipale,1936-09-23-00:00:00,Esch-sur-Alzette,1936-09-23,True,1936.0
luxembourg1935-1936-03-13-a-i0015,Grand bal masqué,Section eschoise de l'Oeuvre des Colonies de Vacances,1936-03-13,"Casino des Terres-Rouges, Esch-sur-Alzette",1936-03-14,True,1936.0
indeplux-1913-02-26-a-i0049,Bal paré et masqué,La Société chorale «Les Enfants de Luxembourg»,1913-02-26,Hôtel de Cologne,1913-03-02 20:30:00,False,
indeplux-1908-03-05-a-i0030,Bal masqué du mardi gras,Luxembourg-Attractions,1908-03-05-00:00:00,Luxembourg,1908-03-03,True,1908.0
indeplux-1903-02-27-a-i0009,2e bal masqué,Société grand-ducale «Fanfare du Grund»,1903-02-27,Villa Louvigny au Parc,1903-03-01,True,1903.0
indeplux-1898-02-25-a-i0033,Bal masqué,Union Dramatique,1898-02-25-00:00:00,Cercle,1898-02-27,True,1898.0
indeplux-1881-03-27-a-i0021,Bal Masqué,La Lyre,1881-03-27-00:00:00,Luxembourg,1881-03-27,True,1881.0
tageblatt-1922-02-25-a-i0079,Programme Extraordinaire,Pole Lord,1922-02-25-00:00:00,Pole Lord,1922-02-24 to 1922-03-02,False,
tageblatt-1922-03-04-a-i0032,Programme Extraordinaire,,1922-03-04-00:00:00,,1922-03-03 to 1922-03-09,True,
luxembourg1935-1938-02-26-a-i0106,Grand BAL MASQUÉ,CHRMÜVSL,1938-02-26-00:00:00,CASINO,1938-02-28,True,1938.0
indeplux-1904-02-13-a-i0005,Carnaval - Bal paré et déguisé,Cercle grand-ducal d'escrime et de gymnastique,1904-02-13-00:00:00,Hôtel de Luxembourg,1904-02-13,True,1904.0
luxembourg1935-1936-02-22-a-i0053,Carnaval 1936,Casino de Luxembourg,1936-02-22-00:00:00,Casino de Luxembourg,1936-02-23 to 1936-03-22,False,
indeplux-1899-02-10-a-i0018,Bal paré et masqué,Société Escrime et Gymnastique,1899-02-10,Restaurant Tony Mersch,1899-02-12 20:00:00,False,
indeplux-1927-03-24-a-i0038,Tartuffe ou L'Imposteur / La Nuit d'Octobre,Théâtre Municipal de Luxembourg,1927-03-24-00:00:00,Théâtre Municipal de Luxembourg,1927-03-26-20:30:00,False,
indeplux-1927-03-25-a-i0029,Tartuffe ou L'Imposteur,Comédie Française,1927-03-25,Théâtre Municipal de Luxembourg,1927-03-26,False,1927.0
indeplux-1930-01-18-a-i0008,Grand bal masqué avec distribution de prix,Alliance franco-luxembourgeoise et la Société mutuelle des Alsaciens et Lorrains d'Esch-s.-Alzette,1930-01-18-00:00:00,"Paris-Palace (propr. Mme veuve Grethen), Esch-sur-Alzette",1930-02-01,False,1930.0
indeplux-1926-03-12-a-i0032,Mi-Carême Cavalcade,Fanfare de Hollerich,1926-03-12,Hollerich/Luxembourg capital,1926-03-14,True,1926.0
tageblatt-1949-02-17-a-i0094,"Grand Bal Masqué ""LE RING DANSANT""",BOXING-CLUB ESCH,1949-02-17-00:00:00,SALLE HEIN-BOSSELER,1949-02-19,False,1949.0
luxwort-1933-02-14-a-i0050,Assemblée Générale,"Société Chorale ""Uolzecht"", Esch-Alzette",1933-02-14,"Hôtel du Parc, rue Xavier Brasseur (1er étage)",1933-02-14,True,1933.0
luxembourg1935-1936-02-08-a-i0008,Bal Masqué du Canoë-Club de Luxembourg,Canoë-Club de Luxembourg,1936-02-08,Pôle Nord,1936-02-08,True,1936.0
luxembourg1935-1937-02-20-a-i0011,Bal masqué du St. Hubert Club,St. Hubert Club,1937-02-20,Casino,1937-02-20,True,1937.0
luxembourg1935-1936-03-12-a-i0092,Grand Bal masqué enfantin,ALFA,1936-03-12-00:00:00,ALFA,1936-03-12,True,1936.0
tageblatt-1950-03-04-a-i0176,Bal Masqué du FOLA,FOLA,1950-03-04-00:00:00,Fratoni Rouge Blanc,1950-03-04,True,1950.0
indeplux-1885-02-08-a-i0027,Football - Match,Cercle d'Escrime et de Gymnastique,1885-02-08,en face de la fondation Pescatore sur les Glacis,1885-02-08,True,1885.0
tageblatt-1936-02-21-a-i0107,Lustigen Abend mit Kappensitzung und Ball,Sparverein «Freut euch des Lebens»,1936-02-21-00:00:00,"Cafe VITALI, Dicksstrasse 50, Esch-Alzette",1936-02-22,False,1936.0
luxwort-1922-02-25-a-i0080,Soirée de Gala,Fanfare Royale Äi-Ducaie ou Gruno,1922-02-25-00:00:00,Grande salle de la Gaieté (propr. Weber et Baur) au Glacis,1922-02-27-20:30:00,True,
tageblatt-1950-02-17-a-i0089,Bal Paré et Masqué,Harmonie Municipale Esch,1950-02-17-00:00:00,chez Kohn,1950-02-19-20:00:00,False,
